taxon,acc,J,margin,mb,chr,start,end,nsnp,name,known
Zv,6D12,0.29545454545454547,0.051864801864801885,33.231529,4,128561521,161793050,225,PN10_SID873,Zv
Zv,5E1,0.4574468085106383,0.03884215734784757,23.521764,5,4982568,28504332,190,PN10_SID873,Zv
Zv,5F9,0.4666666666666667,0.029166666666666674,4.959408,5,30121054,35080462,51,PN10_SID873,Zv
Zv,6D2,0.6363636363636364,0.13636363636363635,4.705694,5,35970018,40675712,41,PN10_SID873,Zv
Zv,5H11,0.45454545454545453,0.10160427807486627,11.679636,5,42124644,53804280,96,PN10_SID873,Zv
Zv,6D4,0.48148148148148145,0.09912854030501089,19.294028,5,54517946,73811974,128,PN10_SID873,Zv
NA,6G10,0.5714285714285714,0.006211180124223614,8.684803,5,78016982,86701785,56,PN10_SID873,Zv
Zv,5E5,0.40625,0.09196428571428572,11.408657,5,87518029,98926686,102,PN10_SID873,Zv
Zv,6D7,0.7272727272727273,0.1558441558441559,15.72227,5,101621509,117343779,149,PN10_SID873,Zv
Zv,6D6,0.5423728813559322,0.1673728813559322,18.737998,5,119650096,138388094,176,PN10_SID873,Zv
Zv,5C3,0.43283582089552236,0.019792342634652793,49.530358,5,139687224,189217582,280,PN10_SID873,Zv
Zv,TIL05,0.4166666666666667,0.004901960784313764,4.05053,10,148255093,152305623,59,PN10_SID873,Zv
Zv,5C7,0.6785714285714286,0.07142857142857151,3.519097,1,17244568,20763665,52,PN10_SID874,Zv
Zv,TIL06,0.36666666666666664,0.033333333333333326,9.740023,2,75383,9815406,106,PN10_SID874,Zv
Zv,5B3,0.5,0.0357142857142857,5.92416,2,10604605,16528765,69,PN10_SID874,Zv
Zv,5C6,0.27346938775510204,0.015404871626069794,48.721862,3,171129963,219851825,589,PN10_SID874,Zv
Zv,5H11,0.34,0.015675675675675682,16.565246,3,220256451,236821697,245,PN10_SID874,Zv
Zv,6G6,0.5294117647058824,0.0445632798573975,6.793116,4,3426995,10220111,68,PN10_SID874,Zv
Zv,5C4,0.39,0.021067961165048554,12.828765,4,10509064,23337829,209,PN10_SID874,Zv
Zv,6G11,0.3054662379421222,0.02873667819369452,160.668286,4,24242334,184910620,1541,PN10_SID874,Zv
Zx,5E12,0.2857142857142857,0.0357142857142857,8.213953,5,2207741,10421694,116,PN10_SID874,Zv
Zv,5A10,0.7142857142857143,0.0,1.795103,5,35323226,37118329,22,PN10_SID874,Zv
Zv,TIL01,0.6,0.22499999999999998,2.298945,5,38654564,40953509,38,PN10_SID874,Zv
Zv,6C11,0.45454545454545453,0.030816640986132515,9.576409,5,41808113,51384522,101,PN10_SID874,Zv
Zv,6D4,0.38461538461538464,0.04251012145748989,11.786713,5,52299180,64085893,95,PN10_SID874,Zv
Zv,5F11,0.5454545454545454,0.0025974025974025983,12.193892,5,65085334,77279226,82,PN10_SID874,Zv
Zv,5C1,0.7,0.08095238095238089,7.208471,5,81925483,89133954,51,PN10_SID874,Zv
Zv,5E1,0.38333333333333336,0.024358974358974383,27.092702,5,90251077,117343779,326,PN10_SID874,Zv
Zv,5C1,0.7037037037037037,0.20370370370370372,8.574631,5,120412783,128987414,94,PN10_SID874,Zv
Zv,5C8,0.27927927927927926,0.001018409714061863,47.476644,9,6365714,53842358,314,PN10_SID874,Zv
Zv,6D5,0.29914529914529914,0.04176133290057338,86.31433,9,62471867,148786197,628,PN10_SID874,Zv
Zv,5H11,0.48148148148148145,0.06481481481481477,7.778008,2,71603,7849611,93,PN10_SID875,Zv
Zv,5F11,0.5476190476190477,0.04761904761904767,10.942429,2,9174186,20116615,105,PN10_SID875,Zv
Zv,TIL05,0.3157894736842105,0.02167182662538697,15.254173,2,34263066,49517239,147,PN10_SID875,Zv
Zv,TIL01,0.625,0.15441176470588236,10.505369,2,50043510,60548879,101,PN10_SID875,Zv
Zv,6C12,0.5,0.078125,18.959209,2,61384080,80343289,177,PN10_SID875,Zv
Zv,5H7,0.4727272727272727,0.0727272727272727,25.14717,2,80956343,106103513,370,PN10_SID875,Zv
Zx,5E7,0.6666666666666666,0.0,1.172772,2,106968564,108141336,34,PN10_SID875,Zv
Zv,Teosinte,0.4418604651162791,0.11593453919035313,31.30933,2,108832134,140141464,371,PN10_SID875,Zv
Zv,6G6,0.5555555555555556,0.09126984126984128,4.415702,2,141916974,146332676,69,PN10_SID875,Zv
Zv,5F11,0.47474747474747475,0.013209013209013187,28.084564,2,147307469,175392033,279,PN10_SID875,Zv
Zv,6D8,0.41509433962264153,0.059722438796195265,36.703073,2,176208790,212911863,256,PN10_SID875,Zv
Zv,parviglumis_2D,0.5,0.09999999999999998,4.843051,10,147552201,152395252,51,PN10_SID875,Zv
Zv,5F9,0.41935483870967744,0.051707779886148,14.626309,3,221906851,236533160,159,PN10_SID876,Zv
Zv,TIL16,0.5833333333333334,0.2870370370370371,7.074409,5,218965177,226039586,64,PN10_SID876,Zv
Zv,TIL01,0.46774193548387094,0.060334528076463556,19.30909,8,574101,19883191,152,PN10_SID876,Zv
Zn,RIN1,0.2847682119205298,0.02530875246107034,62.189527,9,20661057,82850584,471,PN10_SID877,Zv
Zv,5F9,0.2413793103448276,0.0538793103448276,34.326556,9,99361222,133687778,251,PN10_SID877,Zv
Zv,TIL14,0.27455919395465994,0.03426344534098158,110.883226,10,10917547,121800773,1301,PN10_SID877,Zv
Zv,5H12,0.509090909090909,0.11226551226551224,16.720561,10,123416492,140137053,147,PN10_SID877,Zv
Zv,5C3,0.5833333333333334,0.1166666666666667,3.013522,2,10910940,13924462,37,PN10_SID878,Zv
Zv,6H6,0.2743055555555556,0.033847540288379996,56.697353,2,34326920,91024273,810,PN10_SID878,Zv
Zv,5C9,0.29739776951672864,0.0215357005512114,48.515834,2,93233623,141749457,785,PN10_SID878,Zv
Zv,5H7,0.30120481927710846,0.0451072583014987,16.819062,2,146272168,163091230,227,PN10_SID878,Zv
Zv,5E1,0.3333333333333333,0.08333333333333331,2.750113,2,208296211,211046324,21,PN10_SID878,Zv
Zv,5H7,0.46551724137931033,0.07568673290473404,10.600433,3,214118418,224718851,118,PN10_SID878,Zv
Zv,5F9,0.7777777777777778,0.02777777777777779,3.097724,3,225313939,228411663,36,PN10_SID878,Zv
Zv,6E7,0.6,0.02857142857142858,3.654462,3,229712318,233366780,44,PN10_SID878,Zv
Zv,6C10,0.35964912280701755,0.013854730283653083,15.139938,4,4725318,19865256,213,PN10_SID878,Zv
NA,5H6,0.2857142857142857,0.012987012987012991,4.733628,5,209310924,214044552,45,PN10_SID878,Zv
Zx,6B5,0.7142857142857143,0.15873015873015872,3.462701,5,215849212,219311913,25,PN10_SID878,Zv
Zv,TIL08,0.7142857142857143,0.1688311688311689,3.133078,5,219606107,222739185,29,PN10_SID878,Zv
Zv,5C3,0.41025641025641024,0.06141920095408465,19.484258,9,1566009,21050267,124,PN10_SID878,Zv
Zv,6D7,0.5961538461538461,0.13583638583638585,23.477279,10,7456225,30933504,139,PN10_SID878,Zv
Zv,TIL14,0.8333333333333334,0.17708333333333337,5.846468,10,33009924,38856392,71,PN10_SID878,Zv
Zv,TIL14,0.6621621621621622,0.12370062370062374,25.861973,10,39679193,65541166,267,PN10_SID878,Zv
Zv,TIL14,0.5555555555555556,0.1388888888888889,10.229378,10,66499044,76728422,93,PN10_SID878,Zv
Zv,5E2,0.3953488372093023,0.03979328165374674,15.067043,10,77462318,92529361,97,PN10_SID878,Zv
Zx,6B5,0.4411764705882353,0.04831932773109243,11.117031,10,137668293,148785324,121,PN10_SID878,Zv
Zv,TIL14,0.23275862068965517,0.030377668308702782,32.262584,2,17254655,49517239,436,PN10_SID879,Zv
Zv,5F11,0.34375,0.04375000000000001,29.316496,2,50741714,80058210,355,PN10_SID879,Zv
Zv,5C12,0.4444444444444444,0.06666666666666665,13.503765,2,80882332,94386097,279,PN10_SID879,Zv
Zv,5C1,0.5571428571428572,0.0956043956043956,13.321269,2,94848367,108169636,227,PN10_SID879,Zv
Zv,5E5,0.4523809523809524,0.06462585034013607,10.23423,2,109357720,119591950,117,PN10_SID879,Zv
Zv,5F8,0.9285714285714286,0.2410714285714286,1.933698,2,119718321,121652019,24,PN10_SID879,Zv
Zv,5B6,0.5862068965517241,0.08620689655172409,9.461261,2,121652063,131113324,206,PN10_SID879,Zv
Zv,TIL01,0.4594594594594595,0.10945945945945951,9.03741,2,131591874,140629284,142,PN10_SID879,Zv
Zv,6E7,0.37777777777777777,0.025505050505050475,16.777911,2,141916974,158694885,261,PN10_SID879,Zv
Zv,5C10,0.2573099415204678,0.051279790766698974,45.937425,2,166691800,212629225,486,PN10_SID879,Zv
Zv,6C12,0.41304347826086957,0.11517113783533767,9.56719,3,227173261,236740451,131,PN10_SID879,Zv
Zv,parviglumis_2A,0.6,0.06153846153846154,3.978512,4,75377259,79355771,26,PN10_SID879,Zv
Zv,TIL14,0.6153846153846154,0.20997920997921,8.724594,4,80439371,89163965,71,PN10_SID879,Zv
Zv,6D8,0.9130434782608695,0.03804347826086951,7.536634,4,89937213,97473847,95,PN10_SID879,Zv
NA,5H6,0.8571428571428571,0.1428571428571428,1.767141,4,98155856,99922997,21,PN10_SID879,Zv
Zv,6G11,0.92,0.42000000000000004,12.272485,4,101075149,113347634,103,PN10_SID879,Zv
Zv,5F8,0.8387096774193549,0.13282732447817835,6.665636,4,113432897,120098533,42,PN10_SID879,Zv
Zx,6H2,0.9375,0.05514705882352944,3.568187,4,120990756,124558943,26,PN10_SID879,Zv
Zv,TIL01,0.75,0.08333333333333337,2.529829,4,124559143,127088972,22,PN10_SID879,Zv
Zv,TIL08,0.4666666666666667,0.09824561403508775,5.839148,4,127681213,133520361,63,PN10_SID879,Zv
Zv,5C1,0.35119047619047616,0.04305094130675524,52.646717,4,134022074,186668791,390,PN10_SID879,Zv
Zv,TIL05,0.4090909090909091,0.002840909090909116,8.335452,5,213347791,221683243,70,PN10_SID879,Zv
NA,6G12,0.5625,0.017045454545454586,3.405151,3,233366780,236771931,44,PN10_SID880,Zv
Zv,6H9,0.6896551724137931,0.2159709618874774,7.971912,5,95003937,102975849,81,PN10_SID880,Zv
Zv,5C7,0.8571428571428571,0.39560439560439553,8.707843,5,103797532,112505375,91,PN10_SID880,Zv
Zv,5E3,0.8,0.38333333333333336,1.275852,5,113820509,115096361,26,PN10_SID880,Zv
Zv,5A8,0.9333333333333333,0.0,4.274965,5,115151399,119426364,20,PN10_SID880,Zv
Zv,6C10,0.875,0.11029411764705888,1.632171,5,119631892,121264063,24,PN10_SID880,Zv
Zv,5D11,0.8571428571428571,0.3571428571428571,2.839754,5,121277055,124116809,36,PN10_SID880,Zv
Zv,6D10,0.5,0.12,33.6889,5,124639202,158328102,306,PN10_SID880,Zv
Zv,6H9,0.6923076923076923,0.05594405594405594,5.138316,5,158657831,163796147,30,PN10_SID880,Zv
Zv,TIL17,0.625,0.06944444444444442,7.661724,5,166479066,174140790,33,PN10_SID880,Zv
Zv,6D10,0.64,0.015000000000000013,11.075361,5,175180005,186255366,58,PN10_SID880,Zv
Zv,6D3,0.4772727272727273,0.07727272727272727,21.196046,5,187705041,208901087,102,PN10_SID880,Zv
NA,6G5,0.45454545454545453,0.0029325513196480912,7.983688,5,210251604,218235292,70,PN10_SID880,Zv
Zv,5B6,0.5,0.11904761904761907,8.270763,8,19883191,28153954,50,PN10_SID880,Zv
Zv,TIL14,0.417910447761194,0.0845771144278607,30.087963,8,28244776,58332739,373,PN10_SID880,Zv
Zv,TIL14,0.43478260869565216,0.15978260869565214,10.736928,8,63353105,74090033,97,PN10_SID880,Zv
Zv,TIL12,0.625,0.09166666666666667,3.54551,8,178582018,182127528,54,PN10_SID880,Zv
Zv,5C7,0.6785714285714286,0.15857142857142859,6.005962,10,99801164,105807126,94,PN10_SID880,Zv
Zv,6C11,0.4725274725274725,0.10518053375196229,20.519278,10,107283093,127802371,195,PN10_SID880,Zv
Zv,6H1,0.5614035087719298,0.068866195339094,16.753441,10,127840963,144594404,162,PN10_SID880,Zv
Zv,6G11,0.5466666666666666,0.12275362318840577,64.115279,4,43270528,107385807,186,PN10_SID881,Zv
Zv,6E4,0.8095238095238095,0.12952380952380949,16.432263,4,107824709,124256972,32,PN10_SID881,Zv
Zv,6G6,0.47115384615384615,0.06043956043956045,81.270136,4,124607751,205877887,253,PN10_SID881,Zv
Zv,5D12,0.9090909090909091,0.10909090909090902,7.825801,4,205929194,213754995,35,PN10_SID881,Zv
Zv,5F8,0.6666666666666666,0.12121212121212122,13.397802,4,213800976,227198778,52,PN10_SID881,Zv
Zv,6H5,0.46153846153846156,0.0032051282051282493,15.373919,4,234347099,249721018,54,PN10_SID881,Zv
Zv,6G11,0.35353535353535354,0.06149995530526503,69.805906,7,42681850,112487756,275,PN10_SID881,Zv
Zv,5C7,0.59375,0.13660714285714287,24.013536,7,112573786,136587322,76,PN10_SID881,Zv
Zn,RIN1,0.5,0.05263157894736842,31.650353,7,138551177,170201530,88,PN10_SID881,Zv
Zv,TIL10,0.5714285714285714,0.12698412698412698,9.041422,8,29369142,38410564,37,PN10_SID881,Zv
Zv,5A10,1.0,0.0,6.382875,8,44409041,50791916,27,PN10_SID881,Zv
Zv,6D3,0.4112903225806452,0.06406810035842297,99.781114,8,50997274,150778388,307,PN10_SID881,Zv
Zv,6D8,0.64,0.09833333333333338,28.183835,9,120592245,148776080,56,PN10_SID881,Zv
Zv,6H1,0.4772727272727273,0.0626385809312639,15.920516,5,16021712,31942228,108,PN10_SID882,Zv
Zv,5A11,0.4274193548387097,0.03810637773947306,52.643549,5,33780657,86424206,259,PN10_SID882,Zv
Zv,6D7,0.3333333333333333,0.1111111111111111,9.605341,5,87672953,97278294,61,PN10_SID882,Zv
Zv,5E5,1.0,0.5,2.62527,5,99908399,102533669,20,PN10_SID882,Zv
Zv,5C8,0.6875,0.22083333333333333,11.207174,5,103798765,115005939,73,PN10_SID882,Zv
Zv,6G6,0.5806451612903226,0.09788654060066743,12.103869,5,119051834,131155703,75,PN10_SID882,Zv
Zv,5F9,0.373134328358209,0.07205905954100467,39.627021,5,133364162,172991183,205,PN10_SID882,Zv
Zv,parviglumis_2D,0.6666666666666666,0.2666666666666666,6.666567,5,178766389,185432956,23,PN10_SID882,Zv
Zv,5D4,0.4,0.015384615384615385,22.743934,5,188724969,211468903,82,PN10_SID882,Zv
Zv,TIL09,0.3114754098360656,0.09602825536452086,81.971325,7,30516388,112487713,566,PN10_SID882,Zv
Zv,6D1,0.24444444444444444,0.03514211886304908,18.130361,7,112900837,131031198,109,PN10_SID882,Zv
Zv,6D7,0.48,0.1006896551724138,31.021445,9,2749908,33771353,121,PN10_SID882,Zv
Zv,5F8,0.5666666666666667,0.030952380952380953,15.047755,9,38794603,53842358,77,PN10_SID882,Zv
Zv,6D1,0.4928571428571429,0.07952380952380955,94.044232,9,56201304,150245536,360,PN10_SID882,Zv
NA,6G3,0.4166666666666667,0.016666666666666663,3.550991,10,148789828,152340819,29,PN10_SID882,Zv
Zv,6D8,0.2,0.05000000000000002,158.643047,9,2239637,160882684,66,PN10_SID883,Zv
Zv,6D9,0.46511627906976744,0.09776934029425721,8.470491,2,135849862,144320353,121,PN10_SID884,Zv
Zv,5C2,0.6666666666666666,0.16666666666666663,1.269404,2,149082453,150351857,20,PN10_SID884,Zv
Zv,6G11,0.32608695652173914,0.06346069389547648,25.719018,2,166094655,191813673,237,PN10_SID884,Zv
Zv,6D3,0.2647058823529412,0.057158712541620416,17.280273,2,207458606,224738879,125,PN10_SID884,Zv
Zv,6C12,0.5806451612903226,0.13383665065202477,16.021837,10,18996024,35017861,93,PN10_SID884,Zv
Zv,6H7,0.5733333333333334,0.191310861423221,51.548211,10,36711520,88259731,440,PN10_SID884,Zv
Zv,6G11,0.569620253164557,0.16962025316455698,23.74801,10,91351121,115099131,206,PN10_SID884,Zv
Zv,6G11,0.5897435897435898,0.11247086247086246,15.332239,10,119259274,134591513,115,PN10_SID884,Zv
Zv,6G11,0.42857142857142855,0.08571428571428569,22.961687,1,287040,23248727,289,PN10_SID885,Zv
Zv,5H10,0.7,0.19999999999999996,3.217671,4,33819413,37037084,26,PN10_SID885,Zv
Zv,6G11,0.35384615384615387,0.0871794871794872,20.99663,4,52546135,73542765,203,PN10_SID885,Zv
Zv,6H9,0.7368421052631579,0.19138755980861244,5.468422,4,76649545,82117967,49,PN10_SID885,Zv
Zv,6G6,0.5046728971962616,0.18888342351205112,35.046781,4,84011260,119058041,297,PN10_SID885,Zv
Zv,5C5,0.95,0.04999999999999993,1.812396,4,119626528,121438924,23,PN10_SID885,Zv
Zv,6G11,0.5227272727272727,0.09649776453055142,10.720792,4,123876593,134597385,112,PN10_SID885,Zv
Zv,6G11,0.5526315789473685,0.24906015037593993,23.544184,4,136909037,160453221,149,PN10_SID885,Zv
Zv,6G11,0.6666666666666666,0.07843137254901955,5.859895,5,181372120,187232015,32,PN10_SID885,Zv
Zv,6G11,0.68,0.1415384615384616,8.578557,5,190724502,199303059,51,PN10_SID885,Zv
Zv,6G11,0.5869565217391305,0.15059288537549415,16.888331,5,204488863,221377194,103,PN10_SID885,Zv
Zv,5D4,0.5,0.023809523809523836,4.691401,8,172886841,177578242,58,PN10_SID885,Zv
Zv,6G11,0.47540983606557374,0.11429872495446264,20.011012,10,128397347,148408359,201,PN10_SID885,Zv
Zv,6G11,0.8181818181818182,0.2027972027972028,2.555823,2,76737,2632560,39,PN10_SID886,Zv
Zv,5B3,0.3877551020408163,0.03358843537414963,10.121124,6,170534175,180655299,123,PN10_SID886,Zv
Zv,6G11,0.3924050632911392,0.15651504881935918,146.764959,10,94302,146859261,1439,PN10_SID886,Zv
Zv,6G11,0.36477987421383645,0.1237297548820942,92.018353,1,128776057,220794410,863,PN10_SID887,Zv
Zv,6G11,0.5675675675675675,0.10245128849780011,8.528584,1,221417551,229946135,103,PN10_SID887,Zv
Zv,6G11,0.5555555555555556,0.13333333333333336,23.311386,2,195378221,218689607,170,PN10_SID887,Zv
Zv,6G11,0.59375,0.1838400900900901,59.7452,4,29176589,88921789,488,PN10_SID887,Zv
Zv,6G11,0.9333333333333333,0.2666666666666667,7.138021,4,89941614,97079635,59,PN10_SID887,Zv
NA,6G5,0.8461538461538461,0.031339031339031376,4.730701,4,97105884,101836585,42,PN10_SID887,Zv
Zv,TIL16,0.8181818181818182,0.3971291866028709,16.994603,4,101935353,118929956,112,PN10_SID887,Zv
Zv,6H9,0.5897435897435898,0.17797888386123684,9.572863,4,123860581,133433444,100,PN10_SID887,Zv
Zv,6H6,0.5238095238095238,0.1817042606516291,17.745369,4,136643459,154388828,105,PN10_SID887,Zv
Zv,5E3,0.5,0.05555555555555558,3.371962,4,156044019,159415981,28,PN10_SID887,Zv
Zv,5C4,0.38461538461538464,0.07427055702917773,20.252093,6,5677854,25929947,64,PN10_SID887,Zv
Zv,6G11,0.7575757575757576,0.2803030303030303,23.116821,6,27049748,50166569,116,PN10_SID887,Zv
Zv,6G11,0.5740740740740741,0.31917211328976036,27.679857,6,52512288,80192145,228,PN10_SID887,Zv
Zv,6G11,0.6,0.15172413793103445,8.593842,6,81176818,89770660,58,PN10_SID887,Zv
Zv,6G11,0.5151515151515151,0.09848484848484845,14.571655,6,90387332,104958987,70,PN10_SID887,Zv
Zv,6G11,0.6071428571428571,0.05541871921182262,6.268917,8,1144578,7413495,79,PN10_SID887,Zv
Zx,5E10,0.5833333333333334,0.04761904761904767,6.49513,8,8016654,14511784,53,PN10_SID887,Zv
Zv,6D4,0.3269230769230769,0.03525641025641024,9.096039,8,173136022,182232061,137,PN10_SID887,Zv
Zv,6H6,0.5555555555555556,0.10101010101010105,5.657322,9,2116345,7773667,42,PN10_SID887,Zv
